Country,Clicks,Impressions,CTR,Position
United States,716114,10123609,7.07%,18.34
Canada,50075,400129,12.51%,22.95
Germany,27316,357215,7.65%,18.06
Australia,24259,248545,9.76%,17.09
Mexico,22082,248620,8.88%,23
France,19863,139463,14.24%,26.64
United Kingdom,19428,438371,4.43%,36.38
Israel,14988,100873,14.86%,17.15
Philippines,12917,267845,4.82%,28.22
Ukraine,8500,104569,8.13%,32.31
Brazil,7299,433374,1.68%,54.06
Taiwan,6547,115192,5.68%,40.89
Russia,6312,414137,1.52%,50.65
Turkey,6069,144412,4.2%,41.94
Puerto Rico,6029,23196,25.99%,12.8
Italy,5596,105009,5.33%,30.63
Sweden,5212,77326,6.74%,19.03
Switzerland,4924,42015,11.72%,15.04
Greece,4775,53059,9%,17.11
Thailand,4685,68201,6.87%,29.43
United Arab Emirates,4484,47638,9.41%,27.8
Indonesia,4422,174825,2.53%,40.96
Spain,4203,90892,4.62%,34.52
South Korea,4098,428257,0.96%,53.4
Colombia,4091,64311,6.36%,42.71
Hong Kong,3912,41389,9.45%,24.76
India,3812,447015,0.85%,46.2
Vietnam,3691,243851,1.51%,54.36
Singapore,3601,53291,6.76%,29.26
Malaysia,3572,108072,3.31%,41.61
Saudi Arabia,3571,64885,5.5%,26.01
Lebanon,3500,22766,15.37%,7.79
Austria,3314,35306,9.39%,15.49
Netherlands,3028,102714,2.95%,31.94
Poland,2953,97851,3.02%,30.13
Japan,2787,95992,2.9%,37.97
Mongolia,2750,13027,21.11%,26.72
Georgia,2731,21618,12.63%,25.78
Belgium,2573,42446,6.06%,18.19
Jordan,2532,24893,10.17%,20.16
Iraq,2421,29449,8.22%,31.25
Serbia,2418,31624,7.65%,31.43
Kuwait,2333,20297,11.49%,23.72
Hungary,2287,38258,5.98%,28.9
Iran,2222,27154,8.18%,25.64
Bulgaria,2147,30857,6.96%,36.32
Norway,2124,28098,7.56%,19.68
New Zealand,2023,27164,7.45%,23.22
Pakistan,2004,57595,3.48%,34.95
South Africa,1897,55677,3.41%,32.65
Qatar,1867,15608,11.96%,23.48
Denmark,1824,31852,5.73%,14.95
Lithuania,1812,35958,5.04%,36.6
Argentina,1791,99508,1.8%,51.23
Honduras,1744,10472,16.65%,26.94
Unknown Region,1707,26194,6.52%,36.74
Chile,1638,39881,4.11%,41.89
Costa Rica,1627,11426,14.24%,29.86
Cambodia,1521,12130,12.54%,28.11
Portugal,1518,33979,4.47%,28.91
Ireland,1481,31747,4.67%,27.88
Venezuela,1459,25418,5.74%,44.39
Romania,1442,88159,1.64%,43.28
Finland,1384,37239,3.72%,19.07
Peru,1367,37716,3.62%,44.56
Czechia,1336,37319,3.58%,27.13
Ecuador,1232,21802,5.65%,45.91
Kazakhstan,1211,15804,7.66%,31.93
Bosnia & Herzegovina,1210,11870,10.19%,27.08
Bahrain,1188,8410,14.13%,23.94
Guam,1114,5098,21.85%,8.99
Egypt,1107,59790,1.85%,45.06
Guatemala,1103,12135,9.09%,28.49
El Salvador,1072,8783,12.21%,31.25
China,1046,14125,7.41%,27.35
Croatia,1032,17264,5.98%,21.76
Panama,985,8519,11.56%,35.01
Belarus,850,14441,5.89%,43.32
Latvia,801,12511,6.4%,26.58
Slovakia,799,17388,4.6%,25.7
Cyprus,747,6770,11.03%,27.57
Bangladesh,739,35933,2.06%,38.38
Luxembourg,695,3908,17.78%,15.82
Estonia,668,9823,6.8%,18.93
Uzbekistan,661,10965,6.03%,41.55
